Project Name,Date,Location,Treatment ID,Treatment,Site,Organic Matter,SOD ,N2 Flux,N Trial
SG Oyster Culture,6/14/21,Newport R,C no OY-1,Flat,NPR,7.33,389,-1.77,Ambient
SG Oyster Culture,6/14/21,Newport R,C no OY-2,Flat,NPR,7.12,336,18.76,Ambient
SG Oyster Culture,6/14/21,Newport R,C no OY-3,Flat,NPR,8.9,523,12.32,Ambient
SG Oyster Culture,6/14/21,Newport R,OY B Cage-1,Bottom Cage,NPR,1.85,227,17.65,Ambient
SG Oyster Culture,6/14/21,Newport R,OY B Cage-2,Bottom Cage,NPR,2.07,373,30.94,Ambient
SG Oyster Culture,6/14/21,Newport R,OY B Cage-3,Bottom Cage,NPR,1.66,555,23.77,Ambient
SG Oyster Culture,6/14/21,Newport R,OY float-M-1,Floating Bags,NPR,0.56,345,18.42,Ambient
SG Oyster Culture,6/14/21,Newport R,OY float-M-2,Floating Bags,NPR,0.66,610,22.92,Ambient
SG Oyster Culture,6/14/21,Newport R,OY float-M-3,Floating Bags,NPR,0.63,498,22.85,Ambient
SG Oyster Culture,6/14/21,Newport R,OY float-edge-1,Floating Bags Edge,NPR,0.66,910,16.67,Ambient
SG Oyster Culture,6/14/21,Newport R,OY float-edge-2,Floating Bags Edge,NPR,0.5,1000,36.35,Ambient
SG Oyster Culture,6/14/21,Newport R,OY float-edge-3,Floating Bags Edge,NPR,N/A,2532,41.91,Ambient
SG Oyster Culture,6/14/21,Newport R,OY LOB-1,Loose on Bottom,NPR,12.73,2118,24.82,Ambient
SG Oyster Culture,6/14/21,Newport R,OY LOB-2,Loose on Bottom,NPR,10.8,2956,367.28,Ambient
SG Oyster Culture,6/14/21,Newport R,OY LOB-3,Loose on Bottom,NPR,14.31,2947,355.15,Ambient
SG Oyster Culture,6/14/21,Newport R,OY Wild-1,Natural Reef,NPR,8.61,2674,364.76,Ambient
SG Oyster Culture,6/14/21,Newport R,OY Wild-2,Natural Reef,NPR,2.55,2487,380.97,Ambient
SG Oyster Culture,6/14/21,Newport R,OY Wild-3,Natural Reef,NPR,10.64,2794,186.11,Ambient
SG Oyster Culture,6/21/21,Stump Sound,C no OY-1,Flat,SS,7.85,410,-27.91,Ambient
SG Oyster Culture,6/21/21,Stump Sound,C no OY-2,Flat,SS,7.53,615,-39.79,Ambient
