Project Name,Year,Date,Location,Area,Treatment ID,Treatment,Habitat,N Trial,N2 Flux,SOD ,NOX Flux,NH4 Flux,SOM,N2_flux_calc,NOX_flux_calc,NH4_flux_calc,DNF_eff
Oyster Relay,2021,6/1/21,Ward Creek,North River,oysters removed,Relay,REEF,Ambient,111.28,194.67,0.8,15.76,3.55,111.28,0.8,15.76,87.05
Oyster Relay,2021,6/1/21,Ward Creek,North River,oysters removed,Relay,REEF,Ambient,111.78,363.81,2.54,20.02,3.52,111.78,2.54,20.02,83.21
Oyster Relay,2021,6/1/21,Ward Creek,North River,oysters removed,Relay,REEF,Ambient,116.02,979.44,3.05,25.49,4.72,116.02,3.05,25.49,80.26
Oyster Relay,2021,6/1/21,Ward Creek,North River,oysters ,No Relay,REEF,Ambient,88.84,205.1,3.65,2.97,4.42,88.84,3.65,2.97,93.07
Oyster Relay,2021,6/1/21,Ward Creek,North River,oysters ,No Relay,REEF,Ambient,81.07,218.24,2.98,22.95,3.33,81.07,2.98,22.95,75.77
Oyster Relay,2021,6/1/21,Ward Creek,North River,oysters ,No Relay,REEF,Ambient,91.55,328.1,3.08,22.42,2.98,91.55,3.08,22.42,78.21
Oyster Relay,2021,6/1/21,Harlow Creek,Newport River,oysters removed,Relay,REEF,Ambient,130.48,892.58,-0.99,78.53,3.06,130.48,0,78.53,62.43
Oyster Relay,2021,6/1/21,Harlow Creek,Newport River,oysters removed,Relay,REEF,Ambient,132.7,543.38,-1.13,2.73,3.74,132.7,0,2.73,97.98
Oyster Relay,2021,6/1/21,Harlow Creek,Newport River,oysters removed,Relay,REEF,Ambient,116.66,821.46,4.53,73.21,2.88,116.66,4.53,73.21,60.01
Oyster Relay,2021,6/1/21,Harlow Creek,Newport River,oysters ,No Relay,REEF,Ambient,166.14,1081.45,0,26.31,3.59,166.14,0,26.31,86.33
Oyster Relay,2021,6/1/21,Harlow Creek,Newport River,oysters ,No Relay,REEF,Ambient,171.39,1936.74,-0.89,305.14,4.84,171.39,0,305.14,35.97
Oyster Relay,2021,6/1/21,Harlow Creek,Newport River,oysters ,No Relay,REEF,Ambient,162.09,1341.78,0.93,24.98,n/a,162.09,0.93,24.98,86.22
Oyster Relay,2021,6/1/21,Newport R Lime Kill,Newport River,oysters removed,Relay,REEF,Ambient,100,959.09,-0.08,103.13,12.57,100,0,103.13,49.23
Oyster Relay,2021,6/1/21,Newport R Lime Kill,Newport River,oysters removed,Relay,REEF,Ambient,107.97,595.61,-2.14,6.14,7.76,107.97,0,6.14,94.62
Oyster Relay,2021,6/1/21,Newport R Lime Kill,Newport River,oysters removed,Relay,REEF,Ambient,91.15,644.3,1.16,2.94,13.15,91.15,1.16,2.94,95.70
Oyster Relay,2021,6/1/21,Newport R Lime Kill,Newport River,oysters ,No Relay,REEF,Ambient,106.83,1553.28,-2.5,8.27,7.02,106.83,0,8.27,92.81
Oyster Relay,2021,6/1/21,Newport R Lime Kill,Newport River,oysters ,No Relay,REEF,Ambient,90.5,479.26,-2.74,1.75,10.3,90.5,0,1.75,98.10
Oyster Relay,2021,6/1/21,Newport R Lime Kill,Newport River,oysters ,No Relay,REEF,Ambient,89.68,698.49,-0.71,-2.08,9.16,89.68,0,0,100.00
Oyster Relay,2021,6/1/21,Ward Creek,North River,oysters removed,Relay,REEF,Enriched,385.1,1495.76,-103.91,0.27,3.55,385.1,0,0.27,99.93
Oyster Relay,2021,6/1/21,Ward Creek,North River,oysters removed,Relay,REEF,Enriched,396.7,799.23,-47.96,4.93,3.52,396.7,0,4.93,98.77
Oyster Relay,2021,6/1/21,Ward Creek,North River,oysters removed,Relay,REEF,Enriched,421.4,1447.85,-77.27,-1.87,4.72,421.4,0,0,100.00
Oyster Relay,2021,6/1/21,Ward Creek,North River,oysters ,No Relay,REEF,Enriched,188.4,364.18,25.31,4.53,4.42,188.4,25.31,4.53,86.33
Oyster Relay,2021,6/1/21,Ward Creek,North River,oysters ,No Relay,REEF,Enriched,422,1802.97,-69.28,4.53,3.33,422,0,4.53,98.94
Oyster Relay,2021,6/1/21,Ward Creek,North River,oysters ,No Relay,REEF,Enriched,408.1,1127.64,-34.64,5.73,2.98,408.1,0,5.73,98.62
Oyster Relay,2021,6/1/21,Harlow Creek,Newport River,oysters removed,Relay,REEF,Enriched,375.8,2067.11,-95.92,63.75,3.06,375.8,0,63.75,85.50
Oyster Relay,2021,6/1/21,Harlow Creek,Newport River,oysters removed,Relay,REEF,Enriched,352.6,1194.46,-77.27,55.75,3.74,352.6,0,55.75,86.35
Oyster Relay,2021,6/1/21,Harlow Creek,Newport River,oysters removed,Relay,REEF,Enriched,326.3,1673.53,-87.93,-4.81,2.88,326.3,0,0,100.00
Oyster Relay,2021,6/1/21,Harlow Creek,Newport River,oysters ,No Relay,REEF,Enriched,394.7,2384.42,-58.62,-3.54,3.59,394.7,0,0,100.00
Oyster Relay,2021,6/1/21,Harlow Creek,Newport River,oysters ,No Relay,REEF,Enriched,432.3,3814.78,-106.58,31.91,4.84,432.3,0,31.91,93.13
Oyster Relay,2021,6/1/21,Harlow Creek,Newport River,oysters ,No Relay,REEF,Enriched,356,2461.13,-141.21,-4.61,n/a,356,0,0,100.00
Oyster Relay,2021,6/1/21,Newport R Lime Kill,Newport River,oysters removed,Relay,REEF,Enriched,228.9,1179.42,-34.64,36.21,12.57,228.9,0,36.21,86.34
Oyster Relay,2021,6/1/21,Newport R Lime Kill,Newport River,oysters removed,Relay,REEF,Enriched,294,1142.79,-87.93,-1.59,7.76,294,0,0,100.00
Oyster Relay,2021,6/1/21,Newport R Lime Kill,Newport River,oysters removed,Relay,REEF,Enriched,282.6,1095.29,-35.97,7.83,13.15,282.6,0,7.83,97.30
Oyster Relay,2021,6/1/21,Newport R Lime Kill,Newport River,oysters ,No Relay,REEF,Enriched,273.9,3410.78,-224.08,-3.65,7.02,273.9,0,0,100.00
Oyster Relay,2021,6/1/21,Newport R Lime Kill,Newport River,oysters ,No Relay,REEF,Enriched,235,1826.91,-53.29,2.28,10.3,235,0,2.28,99.04
Oyster Relay,2021,6/1/21,Newport R Lime Kill,Newport River,oysters ,No Relay,REEF,Enriched,212.5,1416.75,-42.63,6.63,9.16,212.5,0,6.63,96.97
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,C no OY-1,Flat,FLAT,Ambient,0.1,546,0.14,33.17,7.33,0.1,0.14,33.17,0.30
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,C no OY-2,Flat,FLAT,Ambient,20.6,395,0,5.46,7.12,20.6,0,5.46,79.05
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,C no OY-3,Flat,FLAT,Ambient,14.2,567,0.89,42.76,8.9,14.2,0.89,42.76,24.55
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY B Cage-1,Bottom Cage,CULTURE,Ambient,17.6,318,0.42,25.58,1.85,17.6,0.42,25.58,40.37
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY B Cage-2,Bottom Cage,CULTURE,Ambient,30.9,361,1.79,38.63,2.07,30.9,1.79,38.63,43.33
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY B Cage-3,Bottom Cage,CULTURE,Ambient,23.8,381,0.85,32.64,1.66,23.8,0.85,32.64,41.54
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY float-M-1,Floating Bags,CULTURE,Ambient,18.4,228,1.07,5.2,0.56,18.4,1.07,5.2,74.58
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY float-M-2,Floating Bags,CULTURE,Ambient,22.9,411,0,5.06,0.66,22.9,0,5.06,81.90
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY float-M-3,Floating Bags,CULTURE,Ambient,22.8,468,0.74,0.4,0.63,22.8,0.74,0.4,95.24
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY float-edge-1,Floating Bags Edge,CULTURE,Ambient,16.7,405,1.77,-4.66,0.66,16.7,1.77,0,90.42
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY float-edge-2,Floating Bags Edge,CULTURE,Ambient,36.4,598,0.53,-7.06,0.5,36.4,0.53,0,98.56
SG Oyster Culture,2021,6/14/21,Newport R,Newport River,OY float-edge-3,Floating Bags Edge,CULTURE,Ambient,41.9,1354,0.54,3.2,n/a,41.9,0.54,3.2,91.81
